brawler_id,brawler_name,rarity,rarity_color,class,description,star_powers_count,gadgets_count,icon_url
16000021,Gene,Mythic,#fe5e72,Controller,Most people look at Gene and see a funny little guy in a costume. What they don't see is that his personality is split between his body and his teapot.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000021.png
16000020,Frank,Epic,#d850ff,Tank,"Frank is a good-natured giant who helps out at the mortuary by day and spins tunes at the Club by night. He doesn't get a lot of sleep, and it shows.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000020.png
16000019,Penny,Super Rare,#5ab3ff,Artillery,Penny doesn't care about studying old maps or puzzling over sea shanty riddles. She's a pirate so she can blow stuff up and grab whatever she wants!,2,2,https://cdn.brawlify.com/brawlers/borderless/16000019.png
16000018,Darryl,Super Rare,#5ab3ff,Tank,"Darryl put on the pirate captain's hat in a bid to avoid work, but now he's forced to defend his ship! Who knew being in charge took actual effort?",2,2,https://cdn.brawlify.com/brawlers/borderless/16000018.png
16000017,Tara,Mythic,#fe5e72,Damage Dealer,Tara has seen in the cards that great difficulties lie ahead! But don't despair... she has a terrific selection of magical trinkets for sale to help with that.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000017.png
16000016,Pam,Epic,#d850ff,Support,"Pam handles an enormous workload at the junkyard and always gets it done! It's just a shame it keeps her away from her daughter, Jessie...",2,2,https://cdn.brawlify.com/brawlers/borderless/16000016.png
16000015,Piper,Epic,#d850ff,Marksman,"Piper wants nothing more than to be the local village baker who hands out pies, cookies and other sweet treats! Just don't ask about her past.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000015.png
16000014,Bo,Epic,#d850ff,Controller,Bo has survived in the Rumble Jungle for a long time. It's all the more impressive considering he's been using toys he got on sale from the Gift Shop.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000014.png
16000013,Poco,Rare,#68fd58,Support,"Poco believes music can change people's lives. He's so enthusiastic about it that he never stops playing, even after people ask him to!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000013.png
16000012,Crow,Legendary,#fff11e,Assassin,"Crow trusts no one and keeps to himself. The most anyone knows about him is that he's often found at the diner, hanging out with Bull and Bibi.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000012.png
16000011,Mortis,Mythic,#fe5e72,Assassin,"Mortis had grand designs built around being a mortician and a vampire, but the fact that nobody is dying at Starr Park has put a huge damper on his plans.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000011.png
16000010,El Primo,Rare,#68fd58,Tank,"El Primo is always in the spotlight and that's right where he wants to be! There's no audience he can't win over, except maybe his fellow performers...",2,2,https://cdn.brawlify.com/brawlers/borderless/16000010.png
16000009,Dynamike,Super Rare,#5ab3ff,Artillery,Dynamike is an old miner and prospector who's become obsessed with explosions. Nothing makes him happier than a big boom!,2,2,https://cdn.brawlify.com/brawlers/borderless/16000009.png
16000008,Nita,Rare,#68fd58,Damage Dealer,Nita is a ferocious child who never backs down from a fight! The teddy bear on her head serves as a warning to others: don't poke the bear.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000008.png
16000007,Jessie,Super Rare,#5ab3ff,Controller,Jessie is a prodigy who builds guns and gadgets from parts she finds in the junkyard. Maybe one day her mother Pam will see she can fend for herself!,2,2,https://cdn.brawlify.com/brawlers/borderless/16000007.png
16000006,Barley,Rare,#68fd58,Artillery,"A bartending robot designed to mix drinks and banter with patrons, Barley also makes sure to keep his bar clean, to the detriment of anyone who makes a mess.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000006.png
16000005,Spike,Legendary,#fff11e,Damage Dealer,Most people think Spike is Colt and Shelly's cute sidekick at the Ranger Ranch. Nobody could begin to guess the depths of his trauma,2,2,https://cdn.brawlify.com/brawlers/borderless/16000005.png
16000004,Rico,Super Rare,#5ab3ff,Damage Dealer,"Rico is definitely a real space bounty hunter who tracks down the galaxy's most wanted criminals, not a gumball machine pretending to be cool.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000004.png
16000003,Brock,Rare,#68fd58,Marksman,"Brock is a smack-talking video game enthusiast. His big attitude hides a more introverted personality, but he'll still do whatever it takes to win!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000003.png
16000002,Bull,Rare,#68fd58,Tank,"Bull isn't as carefree as he was in his youth, but just because his rowdy days are behind him doesn't mean he won't still crush someone who's asking for it.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000002.png
16000001,Colt,Rare,#68fd58,Damage Dealer,"Colt is the star attraction at Starr Park! His good looks, charisma and gun twirling tricks win over any audience, except maybe Shelly.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000001.png
16000000,Shelly,Common,#b9eaff,Damage Dealer,"Shelly's the perfect ranger: reliable, tough, and terrific with her shotgun. She never understood why Colt got to steal the limelight...",2,2,https://cdn.brawlify.com/brawlers/borderless/16000000.png
