battle_time,map,game_mode,environment,mode,team_a_win,team_a_brawler1,team_a_brawler2,team_a_brawler3,team_b_brawler1,team_b_brawler2,team_b_brawler3,team_a_brawler1_class,team_a_brawler2_class,team_a_brawler3_class,team_b_brawler1_class,team_b_brawler2_class,team_b_brawler3_class,team_a_brawler1_rarity,team_a_brawler2_rarity,team_a_brawler3_rarity,team_b_brawler1_rarity,team_b_brawler2_rarity,team_b_brawler3_rarity
20260311T095516.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,RICO,TRUNK,MORTIS,FRANK,POCO,BIBI,Damage Dealer,Unknown,Assassin,Tank,Support,Tank,Super Rare,Epic,Mythic,Epic,Rare,Epic
20260311T095112.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,False,RICO,FRANK,BIBI,MORTIS,RICO,TRUNK,Damage Dealer,Tank,Tank,Assassin,Damage Dealer,Unknown,Super Rare,Epic,Epic,Mythic,Super Rare,Epic
20260311T094934.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,False,BULL,COLETTE,BIBI,RICO,MORTIS,TRUNK,Tank,Damage Dealer,Tank,Damage Dealer,Assassin,Unknown,Rare,Epic,Epic,Super Rare,Mythic,Epic
20260311T094621.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,RICO,TRUNK,MORTIS,BIBI,SIRIUS,RICO,Damage Dealer,Unknown,Assassin,Tank,Unknown,Damage Dealer,Super Rare,Epic,Mythic,Epic,Ultra Legendary,Super Rare
20260311T094258.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,RICO,TRUNK,MORTIS,BIBI,RICO,MORTIS,Damage Dealer,Unknown,Assassin,Tank,Damage Dealer,Assassin,Super Rare,Epic,Mythic,Epic,Super Rare,Mythic
20260311T094020.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,SHADE,TRUNK,RICO,GROM,BIBI,MORTIS,Assassin,Unknown,Damage Dealer,Artillery,Tank,Assassin,Epic,Epic,Super Rare,Epic,Epic,Mythic
20260311T093827.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,RICO,TRUNK,SHADE,CHESTER,SIRIUS,BIBI,Damage Dealer,Unknown,Assassin,Damage Dealer,Unknown,Tank,Super Rare,Epic,Epic,Legendary,Ultra Legendary,Epic
20260311T093626.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,False,CROW,KENJI,BIBI,TRUNK,SHADE,RICO,Assassin,Assassin,Tank,Unknown,Assassin,Damage Dealer,Legendary,Legendary,Epic,Epic,Epic,Super Rare
20260311T093303.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,False,CORDELIUS,LOU,BIBI,RICO,TRUNK,SHADE,Assassin,Controller,Tank,Damage Dealer,Unknown,Assassin,Legendary,Mythic,Epic,Super Rare,Epic,Epic
20260311T092855.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,False,SIRIUS,RICO,BIBI,TRUNK,RICO,SHADE,Unknown,Damage Dealer,Tank,Unknown,Damage Dealer,Assassin,Ultra Legendary,Super Rare,Epic,Epic,Super Rare,Epic
20260311T092709.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,RICO,SHADE,TRUNK,RICO,BIBI,MORTIS,Damage Dealer,Assassin,Unknown,Damage Dealer,Tank,Assassin,Super Rare,Epic,Epic,Super Rare,Epic,Mythic
20260311T092413.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,RICO,TRUNK,SHADE,BIBI,RICO,MAISIE,Damage Dealer,Unknown,Assassin,Tank,Damage Dealer,Marksman,Super Rare,Epic,Epic,Epic,Super Rare,Epic
20260311T092236.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,RICO,TRUNK,SHADE,SHELLY,FRANK,SIRIUS,Damage Dealer,Unknown,Assassin,Damage Dealer,Tank,Unknown,Super Rare,Epic,Epic,Common,Epic,Ultra Legendary
20260311T092123.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,SIRIUS,BIBI,RICO,SHADE,RICO,TRUNK,Unknown,Tank,Damage Dealer,Assassin,Damage Dealer,Unknown,Ultra Legendary,Epic,Super Rare,Epic,Super Rare,Epic
20260311T092017.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,False,SPIKE,SIRIUS,BIBI,RICO,TRUNK,SHADE,Damage Dealer,Unknown,Tank,Damage Dealer,Unknown,Assassin,Legendary,Ultra Legendary,Epic,Super Rare,Epic,Epic
20260311T091834.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,RICO,TRUNK,SHADE,MORTIS,MINA,BIBI,Damage Dealer,Unknown,Assassin,Assassin,Unknown,Tank,Super Rare,Epic,Epic,Mythic,Mythic,Epic
20260314T015602.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,GROM,GUS,BELLE,BUSTER,RICO,Unknown,Artillery,Support,Marksman,Tank,Damage Dealer,Ultra Legendary,Epic,Super Rare,Epic,Mythic,Super Rare
20260314T015321.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,GUS,GROM,PIPER,KIT,DARRYL,Unknown,Support,Artillery,Marksman,Support,Tank,Ultra Legendary,Super Rare,Epic,Epic,Legendary,Super Rare
20260314T015155.000Z,Opening Move,Knockout,Retropolis,knockout,True,GUS,GROM,KAZE,BYRON,PIPER,SIRIUS,Support,Artillery,Unknown,Support,Marksman,Unknown,Super Rare,Epic,Ultra Legendary,Mythic,Epic,Ultra Legendary
20260314T014904.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,GUS,GROM,SPIKE,BIBI,DOUG,Unknown,Support,Artillery,Damage Dealer,Tank,Support,Ultra Legendary,Super Rare,Epic,Legendary,Epic,Mythic
20260314T014603.000Z,Opening Move,Knockout,Retropolis,knockout,False,BROCK,MORTIS,PIPER,KAZE,GUS,GROM,Marksman,Assassin,Marksman,Unknown,Support,Artillery,Rare,Mythic,Epic,Ultra Legendary,Super Rare,Epic
20260314T014414.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,GUS,GROM,LEON,MANDY,SHELLY,Unknown,Support,Artillery,Assassin,Marksman,Damage Dealer,Ultra Legendary,Super Rare,Epic,Legendary,Epic,Common
20260314T014233.000Z,Opening Move,Knockout,Retropolis,knockout,False,RICO,MORTIS,EMZ,KAZE,GUS,GROM,Damage Dealer,Assassin,Controller,Unknown,Support,Artillery,Super Rare,Mythic,Epic,Ultra Legendary,Super Rare,Epic
20260314T014100.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,GUS,GROM,LEON,PIPER,MANDY,Unknown,Support,Artillery,Assassin,Marksman,Marksman,Ultra Legendary,Super Rare,Epic,Legendary,Epic,Epic
20260314T013935.000Z,Opening Move,Knockout,Retropolis,knockout,False,LILY,PIPER,CARL,KAZE,GUS,GROM,Assassin,Marksman,Damage Dealer,Unknown,Support,Artillery,Mythic,Epic,Super Rare,Ultra Legendary,Super Rare,Epic
20260314T013724.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,GUS,GROM,COLT,MELODIE,DARRYL,Unknown,Support,Artillery,Damage Dealer,Assassin,Tank,Ultra Legendary,Super Rare,Epic,Rare,Mythic,Super Rare
20260314T013613.000Z,Opening Move,Knockout,Retropolis,knockout,False,KAZE,GUS,GROM,MANDY,TICK,RICO,Unknown,Support,Artillery,Marksman,Artillery,Damage Dealer,Ultra Legendary,Super Rare,Epic,Epic,Super Rare,Super Rare
20260314T013439.000Z,Opening Move,Knockout,Retropolis,knockout,False,PEARL,SIRIUS,CROW,KAZE,GUS,GROM,Damage Dealer,Unknown,Assassin,Unknown,Support,Artillery,Epic,Ultra Legendary,Legendary,Ultra Legendary,Super Rare,Epic
20260314T013236.000Z,Opening Move,Knockout,Retropolis,knockout,False,LEON,SPROUT,MORTIS,KAZE,GUS,GROM,Assassin,Artillery,Assassin,Unknown,Support,Artillery,Legendary,Mythic,Mythic,Ultra Legendary,Super Rare,Epic
20260314T013103.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,GROM,GUS,RICO,CROW,GLOWBERT,Unknown,Artillery,Support,Damage Dealer,Assassin,Unknown,Ultra Legendary,Epic,Super Rare,Super Rare,Legendary,Mythic
20260314T012804.000Z,Opening Move,Knockout,Retropolis,knockout,False,MORTIS,CROW,PEARL,KAZE,GROM,GUS,Assassin,Assassin,Damage Dealer,Unknown,Artillery,Support,Mythic,Legendary,Epic,Ultra Legendary,Epic,Super Rare
20260314T012629.000Z,Opening Move,Knockout,Retropolis,knockout,False,MAISIE,CROW,LEON,KAZE,GUS,GROM,Marksman,Assassin,Assassin,Unknown,Support,Artillery,Epic,Legendary,Legendary,Ultra Legendary,Super Rare,Epic
20260314T012412.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,GUS,GROM,SQUEAK,GROM,MANDY,Unknown,Support,Artillery,Controller,Artillery,Marksman,Ultra Legendary,Super Rare,Epic,Mythic,Epic,Epic
20260314T012250.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,BYRON,GROM,LEON,BO,MORTIS,Unknown,Support,Artillery,Assassin,Controller,Assassin,Ultra Legendary,Mythic,Epic,Legendary,Epic,Mythic
20260314T011922.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,BYRON,GROM,PENNY,BROCK,RICO,Unknown,Support,Artillery,Artillery,Marksman,Damage Dealer,Ultra Legendary,Mythic,Epic,Super Rare,Rare,Super Rare
20260314T011739.000Z,Opening Move,Knockout,Retropolis,knockout,False,RICO,LEON,STU,KAZE,BYRON,GROM,Damage Dealer,Assassin,Assassin,Unknown,Support,Artillery,Super Rare,Legendary,Epic,Ultra Legendary,Mythic,Epic
20260314T011450.000Z,Opening Move,Knockout,Retropolis,knockout,False,LEON,PIPER,BYRON,KAZE,BELLE,GROM,Assassin,Marksman,Support,Unknown,Marksman,Artillery,Legendary,Epic,Mythic,Ultra Legendary,Epic,Epic
20260314T011341.000Z,Opening Move,Knockout,Retropolis,knockout,False,DYNAMIKE,GENE,GRAY,KAZE,BELLE,GROM,Artillery,Controller,Support,Unknown,Marksman,Artillery,Super Rare,Mythic,Mythic,Ultra Legendary,Epic,Epic
20260314T011143.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,BELLE,GROM,GRAY,PEARL,LEON,Unknown,Marksman,Artillery,Support,Damage Dealer,Assassin,Ultra Legendary,Epic,Epic,Mythic,Epic,Legendary
20260314T010928.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,BELLE,GROM,NANI,PIPER,EDGAR,Unknown,Marksman,Artillery,Marksman,Marksman,Assassin,Ultra Legendary,Epic,Epic,Epic,Epic,Epic
20260314T010603.000Z,Opening Move,Knockout,Retropolis,knockout,False,MORTIS,BYRON,SIRIUS,KAZE,BELLE,GROM,Assassin,Support,Unknown,Unknown,Marksman,Artillery,Mythic,Mythic,Ultra Legendary,Ultra Legendary,Epic,Epic
20260314T015528.000Z,Quintillion,Heist,Bizarrecircus,heist,False,JESSIE,NITA,GRIFF,BIBI,LUMI,COLT,Controller,Damage Dealer,Controller,Tank,Damage Dealer,Damage Dealer,Super Rare,Rare,Epic,Epic,Mythic,Rare
20260314T015228.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,COLT,LUMI,SIRIUS,BULL,EL PRIMO,Tank,Damage Dealer,Damage Dealer,Unknown,Tank,Tank,Epic,Rare,Mythic,Ultra Legendary,Rare,Rare
20260314T014923.000Z,Quintillion,Heist,Bizarrecircus,heist,False,COLT,BULL,RICO,BIBI,COLT,LUMI,Damage Dealer,Tank,Damage Dealer,Tank,Damage Dealer,Damage Dealer,Rare,Rare,Super Rare,Epic,Rare,Mythic
20260314T014703.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,COLT,CARL,SIRIUS,BIBI,COLT,Tank,Damage Dealer,Damage Dealer,Unknown,Tank,Damage Dealer,Epic,Rare,Super Rare,Ultra Legendary,Epic,Rare
20260314T014047.000Z,Quintillion,Heist,Bizarrecircus,heist,True,SIRIUS,AMBER,DARRYL,BERRY,COLT,LUMI,Unknown,Controller,Tank,Support,Damage Dealer,Damage Dealer,Ultra Legendary,Legendary,Super Rare,Epic,Rare,Mythic
20260314T013845.000Z,Quintillion,Heist,Bizarrecircus,heist,False,BIBI,COLT,LUMI,BIBI,SIRIUS,MICO,Tank,Damage Dealer,Damage Dealer,Tank,Unknown,Assassin,Epic,Rare,Mythic,Epic,Ultra Legendary,Mythic
20260314T013606.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,SIRIUS,LILY,BIBI,COLT,LUMI,Tank,Unknown,Assassin,Tank,Damage Dealer,Damage Dealer,Epic,Ultra Legendary,Mythic,Epic,Rare,Mythic
20260314T013353.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,COLT,LUMI,JESSIE,BIBI,COLT,Tank,Damage Dealer,Damage Dealer,Controller,Tank,Damage Dealer,Epic,Rare,Mythic,Super Rare,Epic,Rare
20260314T013243.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,COLT,LUMI,BERRY,SIRIUS,BROCK,Tank,Damage Dealer,Damage Dealer,Support,Unknown,Marksman,Epic,Rare,Mythic,Epic,Ultra Legendary,Rare
20260314T013029.000Z,Quintillion,Heist,Bizarrecircus,heist,True,LUMI,BIBI,COLT,BIBI,BULL,RICO,Damage Dealer,Tank,Damage Dealer,Tank,Tank,Damage Dealer,Mythic,Epic,Rare,Epic,Rare,Super Rare
20260314T012837.000Z,Quintillion,Heist,Bizarrecircus,heist,False,MELODIE,SIRIUS,COLT,BIBI,LUMI,COLT,Assassin,Unknown,Damage Dealer,Tank,Damage Dealer,Damage Dealer,Mythic,Ultra Legendary,Rare,Epic,Mythic,Rare
20260314T012625.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,LUMI,COLT,FRANK,EDGAR,COLT,Tank,Damage Dealer,Damage Dealer,Tank,Assassin,Damage Dealer,Epic,Mythic,Rare,Epic,Epic,Rare
20260314T012423.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,COLT,LUMI,CHUCK,BIBI,EDGAR,Tank,Damage Dealer,Damage Dealer,Damage Dealer,Tank,Assassin,Epic,Rare,Mythic,Mythic,Epic,Epic
20260314T012205.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,COLT,LUMI,MICO,LEON,COLT,Tank,Damage Dealer,Damage Dealer,Assassin,Assassin,Damage Dealer,Epic,Rare,Mythic,Mythic,Legendary,Rare
20260314T012036.000Z,Quintillion,Heist,Bizarrecircus,heist,True,COLT,LUMI,BIBI,BULL,KAZE,JESSIE,Damage Dealer,Damage Dealer,Tank,Tank,Unknown,Controller,Rare,Mythic,Epic,Rare,Ultra Legendary,Super Rare
20260314T011614.000Z,Quintillion,Heist,Bizarrecircus,heist,True,CARL,EMZ,MICO,BIBI,LUMI,EMZ,Damage Dealer,Controller,Assassin,Tank,Damage Dealer,Controller,Super Rare,Epic,Mythic,Epic,Mythic,Epic
20260314T011401.000Z,Quintillion,Heist,Bizarrecircus,heist,True,LUMI,BIBI,EMZ,SIRIUS,COLETTE,BULL,Damage Dealer,Tank,Controller,Unknown,Damage Dealer,Tank,Mythic,Epic,Epic,Ultra Legendary,Epic,Rare
20260314T011139.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BULL,BIBI,COLT,BIBI,LUMI,EMZ,Tank,Tank,Damage Dealer,Tank,Damage Dealer,Controller,Rare,Epic,Rare,Epic,Mythic,Epic
20260314T010933.000Z,Quintillion,Heist,Bizarrecircus,heist,False,MICO,BIBI,BULL,BIBI,EMZ,LUMI,Assassin,Tank,Tank,Tank,Controller,Damage Dealer,Mythic,Epic,Rare,Epic,Epic,Mythic
20260314T010748.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,MICO,SPIKE,BIBI,LUMI,EMZ,Tank,Assassin,Damage Dealer,Tank,Damage Dealer,Controller,Epic,Mythic,Legendary,Epic,Mythic,Epic
20260314T010544.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,LUMI,EMZ,MICO,BIBI,FRANK,Tank,Damage Dealer,Controller,Assassin,Tank,Tank,Epic,Mythic,Epic,Mythic,Epic,Epic
20260314T010336.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,EMZ,LUMI,BIBI,BULL,BO,Tank,Controller,Damage Dealer,Tank,Tank,Controller,Epic,Epic,Mythic,Epic,Rare,Epic
20260314T010159.000Z,Quintillion,Heist,Bizarrecircus,heist,False,MICO,RICO,BULL,BIBI,LUMI,EMZ,Assassin,Damage Dealer,Tank,Tank,Damage Dealer,Controller,Mythic,Super Rare,Rare,Epic,Mythic,Epic
20260314T010007.000Z,Quintillion,Heist,Bizarrecircus,heist,True,BIBI,LUMI,EMZ,SIRIUS,BIBI,MICO,Tank,Damage Dealer,Controller,Unknown,Tank,Assassin,Epic,Mythic,Epic,Ultra Legendary,Epic,Mythic
20260314T005817.000Z,Quintillion,Heist,Bizarrecircus,heist,False,BIBI,COLETTE,COLT,BIBI,LUMI,MELODIE,Tank,Damage Dealer,Damage Dealer,Tank,Damage Dealer,Assassin,Epic,Epic,Rare,Epic,Mythic,Mythic
20260314T015413.000Z,Slippery road,Wipeout 5v5,Iceislandshowdown,wipeout,False,FANG,MANDY,MORTIS,SAM,KENJI,GROM,Assassin,Marksman,Assassin,Assassin,Assassin,Artillery,Mythic,Epic,Mythic,Epic,Legendary,Epic
20260314T015154.000Z,Slippery road,Wipeout 5v5,Iceislandshowdown,wipeout,False,MANDY,EDGAR,PAM,GROM,ZIGGY,KENJI,Marksman,Assassin,Support,Artillery,Unknown,Assassin,Epic,Epic,Epic,Epic,Mythic,Legendary
20260314T014828.000Z,Slippery road,Wipeout 5v5,Iceislandshowdown,wipeout,True,SHELLY,LEON,MANDY,BELLE,ZIGGY,KENJI,Damage Dealer,Assassin,Marksman,Marksman,Unknown,Assassin,Common,Legendary,Epic,Epic,Mythic,Legendary
