map,game_mode,environment,mode,team_a_win,team_a_brawler1,team_a_brawler2,team_a_brawler3,team_b_brawler1,team_b_brawler2,team_b_brawler3,team_a_brawler1_class,team_a_brawler2_class,team_a_brawler3_class,team_b_brawler1_class,team_b_brawler2_class,team_b_brawler3_class,team_a_brawler1_rarity,team_a_brawler2_rarity,team_a_brawler3_rarity,team_b_brawler1_rarity,team_b_brawler2_rarity,team_b_brawler3_rarity
23,7,3,4,1,9,23,59,66,55,23,6,3,3,1,1,3,1,4,3,3,2,4
23,7,3,4,1,23,59,9,13,51,49,3,3,6,6,7,2,4,3,1,4,6,5
23,7,3,4,1,17,32,66,9,59,32,3,2,1,6,3,2,5,1,3,1,3,1
23,7,3,4,1,58,9,32,89,22,13,3,6,2,7,3,6,3,1,1,6,1,4
23,7,3,4,1,13,9,23,9,59,32,6,6,3,6,3,2,4,1,4,1,3,1
23,7,3,4,0,65,9,13,9,32,59,1,6,6,6,2,3,3,1,4,1,1,3
23,7,3,4,1,9,66,90,9,59,32,6,1,3,6,3,2,1,3,2,1,3,1
23,7,3,4,1,9,59,32,66,9,36,6,3,2,1,6,6,1,3,1,3,1,1
23,7,3,4,1,9,32,59,9,13,10,6,2,3,6,6,2,1,1,3,1,4,1
23,7,3,4,0,65,82,13,9,59,32,1,3,6,6,3,2,3,5,4,1,3,1
23,7,3,4,1,9,59,32,89,9,66,6,3,2,7,6,1,1,3,1,6,1,3
23,7,3,4,0,9,22,23,9,59,65,6,3,3,6,3,1,1,1,4,1,3,3
27,13,7,8,0,34,61,69,85,52,43,1,4,1,1,1,0,3,1,3,1,2,1
27,13,7,8,0,60,30,75,43,99,52,4,1,5,0,7,1,1,1,1,1,3,2
27,13,7,8,1,87,55,61,7,99,52,3,1,4,4,7,1,0,2,1,1,3,2
27,13,7,8,0,60,52,1,80,61,10,4,1,7,5,4,2,1,2,3,4,1,1
27,13,7,8,1,39,96,46,61,96,43,7,0,6,4,0,0,3,5,5,1,5,1
27,13,7,8,1,95,46,61,61,25,79,0,6,4,4,1,4,5,5,1,1,2,1
27,13,7,8,1,52,61,99,49,61,71,1,4,7,2,4,4,2,1,3,5,1,1
27,13,7,8,0,1,70,69,52,96,46,7,2,1,1,0,6,3,3,3,2,5,5
27,13,7,8,1,98,96,46,9,2,96,7,0,6,6,2,0,3,5,5,1,2,5
27,13,7,8,1,60,99,52,79,96,69,4,7,1,4,0,1,1,3,2,1,5,3
27,13,7,8,1,98,27,52,11,69,61,7,5,1,4,1,4,3,3,2,1,3,1
27,13,7,8,1,27,96,89,51,32,10,5,0,7,7,2,2,3,5,6,6,1,1
27,13,7,8,1,27,99,89,6,82,43,5,7,7,4,3,0,3,3,6,1,5,1
27,13,7,8,0,60,5,92,27,99,96,4,0,2,5,7,0,1,4,3,3,3,5
27,13,7,8,1,69,34,89,61,8,34,2,1,7,4,5,1,3,3,6,1,1,3
27,13,7,8,0,9,55,61,70,89,96,6,1,4,2,7,0,1,2,1,3,6,5
27,13,7,8,1,69,46,96,10,69,82,2,6,0,2,1,3,3,5,5,1,3,5
27,13,7,8,1,34,96,89,96,10,61,1,0,7,0,2,4,3,5,6,5,1,1
27,13,7,8,1,69,34,89,61,16,96,2,1,7,4,5,0,3,3,6,1,3,5
27,13,7,8,0,60,96,55,34,70,61,4,0,1,1,2,4,1,5,2,3,3,1
27,13,7,8,0,54,16,96,70,49,61,1,5,0,2,2,4,2,3,5,3,5,1
27,13,7,8,1,49,70,61,9,34,29,2,2,4,6,1,0,5,3,1,1,3,5
27,13,7,8,0,60,34,43,70,49,61,4,1,0,2,2,4,1,3,1,3,5,1
27,13,7,8,0,9,53,98,34,49,70,6,5,2,1,2,2,1,2,3,3,5,3
27,13,7,8,0,60,10,69,34,70,49,4,2,1,1,2,2,1,1,3,3,3,5
25,3,2,2,0,71,9,69,25,82,69,3,6,1,1,3,1,4,1,3,2,5,3
25,3,2,2,1,25,82,69,89,34,56,1,3,1,7,1,1,2,5,3,6,3,3
25,3,2,2,1,9,23,13,25,82,69,6,3,6,1,3,1,1,4,4,2,5,3
25,3,2,2,0,9,25,13,82,67,25,6,1,6,3,7,1,1,2,4,5,3,2
25,3,2,2,1,25,82,67,6,95,89,1,3,7,4,3,7,2,5,3,1,3,6
25,3,2,2,1,25,67,82,89,52,9,1,7,3,7,1,6,2,3,5,6,2,1
25,3,2,2,1,81,25,67,1,13,25,3,1,7,7,6,1,5,2,3,3,4,2
25,3,2,2,0,13,25,9,25,82,67,6,1,6,1,3,7,4,2,1,2,5,3
25,3,2,2,0,87,13,9,67,82,25,3,6,6,7,3,1,0,4,1,3,5,2
25,3,2,2,0,6,89,69,82,25,67,4,7,1,3,1,7,1,6,3,5,2,3
25,3,2,2,1,25,13,9,25,82,67,1,6,6,1,3,7,2,4,1,2,5,3
25,3,2,2,1,25,82,67,82,89,13,1,3,7,3,7,6,2,5,3,5,6,4
25,3,2,2,1,25,82,67,9,82,23,1,3,7,6,3,3,2,5,3,1,5,4
25,3,2,2,1,25,82,67,60,89,90,1,3,7,4,7,3,2,5,3,1,6,2
25,3,2,2,0,30,9,13,25,67,82,1,6,6,1,7,3,1,1,4,2,3,5
25,3,2,2,1,25,82,67,82,6,89,1,3,7,3,4,7,2,5,3,5,1,6
11,6,6,3,0,94,13,44,75,13,95,3,6,5,5,6,3,3,4,5,1,4,3
11,6,6,3,1,44,13,82,82,29,56,5,6,3,3,0,1,5,4,5,5,5,3
11,6,6,3,0,9,34,66,44,82,13,6,1,1,5,3,6,1,3,3,5,5,4
11,6,6,3,1,13,44,82,69,9,30,6,5,3,1,6,1,4,5,5,3,1,1
11,6,6,3,0,13,82,44,55,70,5,6,3,5,1,2,0,4,5,5,2,3,4
11,6,6,3,1,81,13,36,89,42,82,3,6,6,7,2,3,5,4,1,6,1,5
27,13,7,8,1,60,27,0,20,69,80,4,5,3,3,1,5,1,3,5,3,3,4
23,7,3,4,0,9,89,25,51,2,23,6,7,1,7,2,3,1,6,2,6,2,4
11,6,6,3,0,87,69,58,94,89,83,3,1,2,3,7,6,0,3,3,2,6,4
11,6,6,3,1,68,88,58,92,82,90,1,3,2,2,3,3,3,0,3,3,5,2
11,6,6,3,0,25,9,96,88,69,58,1,6,0,3,1,2,2,1,5,0,3,3
11,6,6,3,1,87,69,58,19,82,9,3,1,2,3,3,6,0,3,3,2,5,1
11,6,6,3,0,54,89,85,88,69,58,1,7,1,3,1,2,2,6,1,0,3,3
11,6,6,3,0,94,69,82,69,88,68,3,1,3,1,3,3,3,3,5,3,0,3
25,3,2,2,0,68,93,6,69,13,9,1,1,4,1,6,6,3,1,1,3,4,1
20,9,13,6,0,12,54,19,38,53,26,4,0,3,2,5,6,4,1,2,3,2,5
20,9,13,6,1,53,27,10,38,53,26,5,5,2,2,5,6,2,3,1,3,2,5
20,9,13,6,0,12,69,61,38,53,26,4,1,4,2,5,6,4,3,1,3,2,5
20,9,13,6,0,53,89,48,38,53,26,5,7,4,2,5,6,2,6,3,3,2,5
20,9,13,6,0,16,79,69,38,26,53,5,4,1,2,6,5,3,1,3,3,5,2
20,9,13,6,1,91,61,82,53,38,26,2,4,3,5,2,6,3,1,5,2,3,5
20,9,13,6,0,38,53,26,55,9,61,2,5,6,1,6,4,3,2,5,2,1,1
20,9,13,6,0,41,89,23,38,53,26,5,7,3,2,5,6,3,6,4,3,2,5
20,9,13,6,1,9,82,16,38,26,53,6,3,5,2,6,5,1,5,3,3,5,2
20,9,13,6,0,23,90,44,38,53,26,3,3,5,2,5,6,4,2,5,3,2,5
20,9,13,6,1,26,38,53,82,23,56,6,2,5,3,3,1,5,3,2,5,4,3
20,9,13,6,0,68,12,71,38,53,26,1,4,4,2,5,6,3,4,1,3,2,5
20,9,13,6,0,12,61,69,38,26,53,4,4,1,2,6,5,4,1,3,3,5,2
20,9,13,6,1,38,53,26,82,96,78,2,5,6,3,0,7,3,2,5,5,5,2
20,9,13,6,1,38,53,26,53,26,12,2,5,6,5,6,4,3,2,5,2,5,4
20,9,13,6,0,54,16,7,38,53,26,1,5,4,2,5,6,2,3,1,3,2,5
20,9,13,6,1,38,26,53,55,99,68,2,6,5,1,7,3,3,5,2,2,3,3
14,6,10,3,1,68,34,48,25,82,10,1,1,4,1,3,2,3,3,3,2,5,1
14,6,10,3,0,25,82,64,69,48,34,1,3,6,1,4,1,2,5,2,3,3,3
14,6,10,3,1,10,9,89,34,48,69,2,6,7,1,4,1,1,1,6,3,3,3
14,6,10,3,0,55,48,77,35,87,34,1,4,0,7,1,1,3,3,5,3,1,3
14,6,10,3,1,34,35,87,19,83,89,1,7,1,3,6,7,3,3,1,2,4,6
14,6,10,3,0,81,69,90,34,56,25,3,1,3,1,1,1,5,3,2,3,3,2
14,6,10,3,1,34,25,56,23,25,18,1,1,1,3,1,2,3,2,3,4,2,3
14,6,10,3,1,34,25,56,27,82,17,1,1,1,5,3,3,3,2,3,3,5,5
14,6,10,3,0,66,82,69,56,62,34,7,3,1,1,5,1,3,5,3,3,3,3
14,6,10,3,1,32,9,89,34,62,56,2,6,7,1,5,1,1,1,6,3,3,3
14,6,10,3,1,34,62,56,29,69,94,1,5,1,0,1,3,3,3,3,5,3,2
14,6,10,3,0,11,69,13,74,56,34,4,1,6,2,1,1,1,3,4,3,3,3
14,6,10,3,0,9,82,25,34,56,74,6,3,1,1,1,2,1,5,2,3,3,3
14,6,10,3,0,9,25,6,34,74,56,6,1,4,1,2,1,1,2,1,3,3,3
14,6,10,3,0,81,89,55,74,56,34,3,7,1,2,1,1,5,6,2,3,3,3
14,6,10,3,1,55,34,74,82,1,25,1,1,2,3,7,1,3,3,3,5,3,2
14,6,10,3,0,55,66,27,34,74,56,1,1,5,1,2,1,3,3,3,3,3,3
14,6,10,3,1,81,25,89,34,74,56,3,1,7,1,2,1,5,2,6,3,3,3
14,6,10,3,0,81,42,14,34,56,74,3,2,6,1,1,2,5,1,3,3,3,3
14,6,10,3,1,34,74,56,73,17,15,1,2,1,7,3,1,3,3,3,3,5,3
14,6,10,3,0,1,9,23,34,74,56,7,6,3,1,2,1,3,1,4,3,3,3
14,6,10,3,0,1,30,15,74,34,56,7,1,1,2,1,1,3,1,3,3,3,3
14,6,10,3,1,34,74,56,40,82,89,1,2,1,7,3,7,3,3,3,3,5,6
14,6,10,3,0,32,13,89,34,74,56,2,6,7,1,2,1,1,4,6,3,3,3
14,6,10,3,0,34,74,56,82,64,9,1,2,1,3,6,6,3,3,3,5,2,1
25,3,2,2,1,23,82,9,9,13,6,3,3,6,6,6,4,4,5,1,1,4,1
25,3,2,2,1,23,9,13,89,9,6,3,6,6,7,6,4,4,1,4,6,1,1
20,9,13,6,1,81,43,19,55,11,79,3,0,3,1,4,4,5,1,2,2,1,1
20,9,13,6,1,54,11,79,16,7,82,1,4,4,5,4,3,2,1,1,3,1,5
20,9,13,6,0,41,11,79,16,67,6,5,4,4,5,7,4,3,1,1,3,3,1
20,9,13,6,1,41,11,79,43,12,23,5,4,4,0,4,3,3,1,1,1,4,4
20,9,13,6,0,41,11,79,53,23,61,5,4,4,5,3,4,3,1,1,2,4,1
20,9,13,6,1,11,79,41,16,25,81,4,4,5,5,1,3,1,1,3,3,2,3
20,9,13,6,1,78,41,11,25,43,96,4,5,4,1,0,0,1,3,1,2,1,5
20,9,13,6,0,11,41,79,82,93,89,4,5,4,3,1,7,1,3,1,5,1,6
20,9,13,6,0,78,61,88,41,11,79,4,4,3,5,4,4,1,1,0,3,1,1
20,9,13,6,0,16,81,23,41,79,11,5,3,3,5,4,4,3,3,4,3,1,1
20,9,13,6,0,81,23,79,74,44,11,3,3,4,2,5,4,5,4,1,3,5,1
20,9,13,6,0,26,10,53,25,79,55,6,2,5,1,4,1,5,1,2,2,1,2
20,9,13,6,1,53,10,26,94,71,9,5,2,6,3,4,6,2,1,5,2,1,1
20,9,13,6,0,78,25,43,53,10,26,4,1,0,5,2,6,1,2,1,2,1,5
20,9,13,6,1,68,41,99,69,55,43,1,5,7,1,1,0,3,3,3,3,2,1
20,9,13,6,1,68,41,99,89,55,61,1,5,7,7,1,4,3,3,3,6,2,1
20,9,13,6,0,78,3,6,69,41,99,4,4,4,1,5,7,1,1,1,3,3,3
20,9,13,6,0,10,12,81,69,41,99,2,4,3,1,5,7,1,4,3,3,3,3
20,9,13,6,0,84,92,89,41,99,69,1,2,7,5,7,1,1,3,6,3,3,3
20,9,13,6,0,30,93,96,69,41,99,1,1,0,1,5,7,1,1,5,3,3,3
20,9,13,6,1,68,41,99,82,55,25,1,5,7,3,1,1,3,3,3,5,2,2
20,9,13,6,1,68,41,99,99,23,79,1,5,7,7,3,4,3,3,3,3,4,1
20,9,13,6,0,91,14,61,69,41,99,2,6,4,1,5,7,3,3,1,3,3,3
20,9,13,6,1,68,41,99,61,9,67,1,5,7,4,6,7,3,3,3,1,1,3
20,9,13,6,1,68,41,99,38,43,55,1,5,7,2,0,1,3,3,3,3,1,2
20,9,13,6,1,52,6,23,99,41,69,1,4,3,7,5,1,2,1,4,3,3,3
20,9,13,6,0,77,77,43,23,3,99,7,0,0,3,4,7,2,5,1,4,1,3
20,9,13,6,0,68,40,13,23,99,3,1,7,6,3,7,4,3,3,4,4,3,1
20,9,13,6,1,23,3,99,89,13,29,3,4,7,7,6,0,4,1,3,6,4,5
20,9,13,6,1,23,3,99,25,89,69,3,4,7,1,7,1,4,1,3,2,6,3
20,9,13,6,0,55,69,9,3,99,23,1,1,6,4,7,3,3,3,1,1,3,4
20,9,13,6,1,23,3,99,9,29,23,3,4,7,6,0,3,4,1,3,1,5,4
20,9,13,6,1,23,3,99,26,10,53,3,4,7,6,2,5,4,1,3,5,1,2
20,9,13,6,0,54,26,10,23,3,56,1,6,2,3,4,1,2,5,1,4,1,3
20,9,13,6,1,51,55,89,23,3,56,7,1,7,3,4,1,6,2,6,4,1,3
20,9,13,6,0,88,55,16,23,3,56,7,1,5,3,4,1,6,2,3,4,1,3
20,9,13,6,0,41,89,56,23,56,3,5,7,1,3,1,4,3,6,3,4,3,1
20,9,13,6,0,29,25,27,23,3,56,0,1,5,3,4,1,5,2,3,4,1,3
20,9,13,6,1,23,3,56,6,85,16,3,4,1,4,1,5,4,1,3,1,1,3
25,3,2,2,0,88,72,84,90,18,68,7,3,5,3,2,3,6,4,3,2,3,3
25,3,2,2,0,25,19,95,90,18,68,1,3,3,3,2,3,2,2,3,2,3,3
25,3,2,2,1,83,90,18,25,53,9,5,3,2,1,5,6,3,2,3,2,2,1
25,3,2,2,0,81,7,55,84,90,18,3,4,1,5,3,2,5,1,2,3,2,3
25,3,2,2,1,83,90,18,89,25,9,5,3,2,7,1,6,3,2,3,6,2,1
25,3,2,2,0,26,90,9,84,90,18,6,3,6,5,3,2,5,2,1,3,2,3
25,3,2,2,0,83,90,18,9,82,89,5,3,2,6,3,7,3,2,3,1,5,6
25,3,2,2,0,89,89,9,84,90,18,3,7,6,5,3,2,2,6,1,3,2,3
25,3,2,2,1,83,90,18,82,34,69,5,3,2,3,1,1,3,2,3,5,3,3
25,3,2,2,1,89,18,84,69,31,9,3,2,5,1,6,6,2,3,3,3,4,1
25,3,2,2,1,83,90,18,25,23,60,5,3,2,1,3,4,3,2,3,2,4,1
25,3,2,2,0,9,82,36,84,90,18,6,3,6,5,3,2,1,5,1,3,2,3
25,3,2,2,1,83,90,18,25,19,9,5,3,2,1,3,6,3,2,3,2,2,1
25,3,2,2,1,83,90,18,90,89,4,5,3,2,3,7,6,3,2,3,2,6,1
25,3,2,2,1,83,90,18,9,69,13,5,3,2,6,1,6,3,2,3,1,3,4
25,3,2,2,0,13,89,9,84,90,18,6,7,6,5,3,2,4,6,1,3,2,3
25,3,2,2,1,89,18,84,23,6,19,3,2,5,3,4,3,2,3,3,4,1,2
25,3,2,2,1,89,18,84,9,36,23,3,2,5,6,6,3,2,3,3,1,1,4
25,3,2,2,0,68,23,25,84,90,18,1,3,1,5,3,2,3,4,2,3,2,3
25,3,2,2,1,83,90,18,36,69,82,5,3,2,6,1,3,3,2,3,1,3,5
25,3,2,2,0,6,93,82,90,18,84,4,1,3,3,2,5,1,1,5,2,3,3
25,3,2,2,1,83,90,18,88,80,13,5,3,2,3,5,6,3,2,3,0,4,4
25,3,2,2,1,89,84,18,69,90,95,3,5,2,1,3,3,2,3,3,3,2,3
25,3,2,2,0,88,9,86,84,90,18,7,6,2,5,3,2,6,1,2,3,2,3
25,3,2,2,1,83,18,90,6,82,9,5,2,3,4,3,6,3,3,2,1,5,1
25,3,2,2,0,42,61,22,89,9,25,2,4,3,7,6,1,1,1,1,6,1,2
25,3,2,2,0,46,25,9,42,61,22,6,1,6,2,4,3,5,2,1,1,1,1
25,3,2,2,0,88,9,94,42,61,22,7,6,3,2,4,3,6,1,2,1,1,1
25,3,2,2,1,42,61,22,69,32,55,2,4,3,1,2,1,1,1,1,3,1,2
25,3,2,2,1,42,22,61,13,86,89,2,3,4,6,2,7,1,1,1,4,2,6
25,3,2,2,0,9,89,32,22,61,42,6,7,2,3,4,2,1,6,1,1,1,1
25,3,2,2,0,54,13,36,42,22,61,1,6,6,2,3,4,2,4,1,1,1,1
25,3,2,2,1,42,61,22,26,82,19,2,4,3,6,3,3,1,1,1,5,5,2
25,3,2,2,1,22,61,42,69,82,23,3,4,2,1,3,3,1,1,1,3,5,4
25,3,2,2,0,42,22,14,9,69,89,2,3,6,6,1,7,1,1,3,1,3,6
25,3,2,2,1,42,22,14,9,89,82,2,3,6,6,7,3,1,1,3,1,6,5
25,3,2,2,0,81,88,98,22,14,42,3,3,2,3,6,2,5,0,3,1,3,1
25,3,2,2,0,36,69,13,42,22,14,6,1,6,2,3,6,1,3,4,1,1,3
25,3,2,2,1,14,22,42,32,15,82,6,3,2,2,1,3,3,1,1,1,3,5
25,3,2,2,1,42,22,14,23,95,13,2,3,6,3,3,6,1,1,3,4,3,4
25,3,2,2,0,23,82,9,14,22,42,3,3,6,6,3,2,4,5,1,3,1,1
25,3,2,2,1,14,22,42,9,34,29,6,3,2,6,1,0,3,1,1,1,3,5
25,3,2,2,0,95,13,25,42,14,22,0,6,1,2,6,3,5,4,2,1,3,1
25,3,2,2,1,42,22,14,73,89,29,2,3,6,7,7,0,1,1,3,3,6,5
25,3,2,2,1,42,22,14,9,23,82,2,3,6,6,3,3,1,1,3,1,4,5
25,3,2,2,1,42,22,14,13,82,10,2,3,6,6,3,2,1,1,3,4,5,1
25,3,2,2,1,67,22,14,15,9,73,3,3,6,1,6,7,3,1,3,3,1,3
25,3,2,2,1,67,14,22,88,89,9,3,6,3,3,7,6,3,3,1,0,6,1
25,3,2,2,1,9,32,13,24,68,48,6,2,6,1,3,4,1,1,4,2,3,3
25,3,2,2,1,48,68,24,13,9,31,4,3,1,6,6,6,3,3,2,4,1,4
5,10,4,6,1,71,9,89,25,29,43,3,6,7,1,0,0,4,1,6,2,5,1
17,4,8,2,1,19,55,90,13,30,15,3,1,3,6,1,1,2,2,2,4,1,3
17,4,8,2,0,6,9,25,19,55,14,4,6,1,3,1,6,1,1,2,2,2,3
17,4,8,2,0,23,9,82,19,90,14,3,6,3,3,3,6,4,1,5,2,2,3
17,4,8,2,0,9,90,23,19,14,79,6,3,3,3,6,4,1,2,4,2,3,1
